<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
IYZ,20030102,19.55,20.25,19.4,20.19,90400
JOB,20030102,4.9,4.9,4.9,4.9,500
LGL,20030102,7.75,7.75,7.75,7.75,0
LNG,20030102,0.65,0.65,0.65,0.65,5100
LQD,20030102,108.97,108.97,107.01,107.33,66700
MDY,20030102,79,81.2,78.6,81.2,1550300
MLN,20030102,9.25,9.26,9.25,9.26,9600
MNM,20030102,8.75,8.75,8.75,8.75,600
MSN,20030102,4.87,5.48,4.87,5.16,110000
MXC,20030102,4,4,4,4,0
NBH,20030102,13.51,13.6,13.39,13.58,26200
NBO,20030102,13.45,13.6,13.45,13.6,28900
NBW,20030102,13.2,13.2,13.11,13.12,4400
NBY,20030102,625,632.5,625,632.5,1700
NEN,20030102,13.9833,13.9833,13.8333,13.8333,300
NG,20030102,3.28,3.4,3.28,3.32,20300
NHC,20030102,17.75,18.25,17.5,18.25,10900
NML,20030102,8.55,8.55,8.55,8.55,2000
OEF,20030102,45.19,46.2,44.81,46.2,52100
OIH,20030102,384.534,396.334,382.266,395.334,452500
PCG-A,20030102,18,18,18,18,1500
PCG-B,20030102,16.6,17.25,16.6,17.25,3900
PCG-C,20030102,14.86,15.1,14.86,15.1,700
PCG-D,20030102,15.25,15.35,15.01,15.01,1200
PCG-E,20030102,15.35,15.85,15.35,15.85,500
PCG-G,20030102,14.65,14.65,14.65,14.65,500
PCG-H,20030102,14.6,15,14.6,15,500
PCG-I,20030102,11.5,11.5,11.5,11.5,0
PGF,20030102,18.9,19.2,18.9,19.19,3300
PRK,20030102,98.7,99.5,98.21,99.25,8100
PTN,20030102,1.98,1.98,1.9,1.9,7600
PW,20030102,8.9,8.9,8.8,8.8,700
PZA,20030102,1.19,1.19,1.19,1.19,0
RVP,20030102,3.8,3.8,3.75,3.75,7700
RWR,20030102,38.795,38.858,38.715,38.858,46500
SBB,20030102,39.04,39.04,39.04,39.04,0
SCC,20030102,268.8,268.8,268.8,268.8,0
SDP,20030102,301.44,301.44,301.44,301.44,0
SEB,20030102,242,242,242,242,50
SHM,20030102,0.4,0.42,0.38,0.4,81400
SIF,20030102,2.59,2.6,2.4,2.45,10600
SIL,20030102,43.35,44.4,43.35,44.19,182900
SIM,20030102,0.9,0.9,0.9,0.9,0
SLI,20030102,5.3,5.3,5.3,5.3,0
SPY,20030102,88.85,91.3,88.54,91.07,44643400
SRS,20030102,219,222,216.6,221.4,26200
SSY,20030102,2.48,2.49,2.48,2.49,300
SVT,20030102,3.55,3.55,3.55,3.55,0
TMP,20030102,40.09,40.27,40.01,40.23,4400
TRT,20030102,2.14,2.24,2.14,2.24,1500
UUU,20030102,3.795,4.163,3.795,4.163,266
VFL,20030102,15.15,15.3,15.15,15.25,3300
VGZ,20030102,4.08,4.08,3.91,4.03,287800
VKI,20030102,14.5,14.5,14.2,14.35,25700
VTI,20030102,41.7,42.525,41.44,42.5,221000
VXF,20030102,24.955,25.45,24.92,25.45,6000
VYM,20030102,14.11,14.36,14.11,14.36,8400
WTT,20030102,1.97,1.97,1.93,1.93,8200
XLB,20030102,20.04,20.37,19.85,20.36,316900
XLE,20030102,22.45,22.83,22.42,22.8,75700
XLF,20030102,17.9268,18.5447,17.9268,18.5366,717100
XLG,20030102,2.75,2.75,2.65,2.75,53200
XLI,20030102,20.83,21.26,20.62,21.12,320600
XLK,20030102,14.9,15.6,14.88,15.6,2072200
XLP,20030102,20.01,20.35,20.01,20.32,365000
XLU,20030102,19.38,19.65,19.21,19.6,525000
XLV,20030102,26.75,27.32,26.7,27.27,102000
XLY,20030102,23.33,23.98,23.25,23.98,81100

<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
ACU,20030101,3.76,3.76,3.76,3.76,0
AE,20030101,5.25,5.25,5.25,5.25,0
AGT,20030101,2.22,2.22,2.22,2.22,0
AIM,20030101,19.41,19.41,19.41,19.41,0
AMS,20030101,4.11,4.11,4.11,4.11,0
APT,20030101,0.84,0.84,0.84,0.84,0
AWX,20030101,2,2,2,2,0
BCV,20030101,17.69,17.69,17.69,17.69,0
BDL,20030101,6.1,6.1,6.1,6.1,0
BDR,20030101,1.6,1.6,1.6,1.6,0
BHB,20030101,12.8667,12.8667,12.8667,12.8667,0
BRN,20030101,3.347,3.347,3.347,3.347,0
CCF,20030101,5.725,5.725,5.725,5.725,0
CEF,20030101,4.77,4.77,4.77,4.77,0
CET,20030101,16.28,16.28,16.28,16.28,0
CEV,20030101,14,14,14,14,0
CKX,20030101,5.2,5.2,5.2,5.2,0
CLM,20030101,93.6,93.6,93.6,93.6,0
CMT,20030101,1.1,1.1,1.1,1.1,0
CPI,20030101,8.35,8.35,8.35,8.35,0
CRF,20030101,90.8,90.8,90.8,90.8,0
CSM,20030101,2.285,2.285,2.285,2.285,0
CVM,20030101,52.5,52.5,52.5,52.5,0
CVR,20030101,22.6,22.6,22.6,22.6,0
CVU,20030101,4.4,4.4,4.4,4.4,0
CYB,20030101,1.4,1.4,1.4,1.4,0
DGT,20030101,50,50,50,50,0
DIA,20030101,83.51,83.51,83.51,83.51,0
DIT,20030101,36,36,36,36,0
DLA,20030101,7.7,7.7,7.7,7.7,0
DMF,20030101,8.89,8.89,8.89,8.89,0
DSI,20030101,9.65,9.65,9.65,9.65,0
ECF,20030101,7.45,7.45,7.45,7.45,0
EFA,20030101,32.97,32.97,32.97,32.97,0
EIM,20030101,13.42,13.42,13.42,13.42,0
ENX,20030101,13.47,13.47,13.47,13.47,0
EPP,20030101,14.3197,14.3197,14.3197,14.3197,0
ERC,20030101,21.563,21.563,21.563,21.563,0
ESP,20030101,9.705,9.705,9.705,9.705,0
EVM,20030101,13.25,13.25,13.25,13.25,0
EVV,20030101,0.05,0.05,0.05,0.05,0
EWA,20030101,9.08,9.08,9.08,9.08,0
EWC,20030101,9.44,9.44,9.44,9.44,0
EWD,20030101,9.55,9.55,9.55,9.55,0
EWG,20030101,9.84,9.84,9.84,9.84,0
EWH,20030101,7.43,7.43,7.43,7.43,0
EWI,20030101,29.2,29.2,29.2,29.2,0
EWJ,20030101,27.8,27.8,27.8,27.8,0
EWK,20030101,9.87,9.87,9.87,9.87,0
EWL,20030101,11.11,11.11,11.11,11.11,0
EWM,20030101,20.08,20.08,20.08,20.08,0
EWN,20030101,13.21,13.21,13.21,13.21,0
EWO,20030101,8.61,8.61,8.61,8.61,0
EWP,20030101,17.71,17.71,17.71,17.71,0
EWQ,20030101,14.8,14.8,14.8,14.8,0
EWS,20030101,8.54,8.54,8.54,8.54,0
EWT,20030101,16.3,16.3,16.3,16.3,0
EWU,20030101,24.3,24.3,24.3,24.3,0
EWW,20030101,12.45,12.45,12.45,12.45,0
EWY,20030101,18.35,18.35,18.35,18.35,0
EWZ,20030101,7.98,7.98,7.98,7.98,0
EZM,20030101,2.9,2.9,2.9,2.9,0
EZU,20030101,21.75,21.75,21.75,21.75,0
FAX,20030101,4.63,4.63,4.63,4.63,0
FRD,20030101,2.47,2.47,2.47,2.47,0
FSI,20030101,3.45,3.45,3.45,3.45,0
FTF,20030101,23.25,23.25,23.25,23.25,0
GBR,20030101,3.63,3.63,3.63,3.63,0
GRN,20030101,2.1,2.1,2.1,2.1,0
HHH,20030101,24.8,24.8,24.8,24.8,0
IAF,20030101,5.91,5.91,5.91,5.91,0
ICF,20030101,40.775,40.775,40.775,40.775,0
IDU,20030101,47.88,47.88,47.88,47.88,0
IEV,20030101,23.74,23.74,23.74,23.74,0
IG,20030101,0.52,0.52,0.52,0.52,0
IGC,20030101,31.1,31.1,31.1,31.1,0
IGE,20030101,13.551,13.551,13.551,13.551,0
IGM,20030101,30.04,30.04,30.04,30.04,0
IGN,20030101,13.59,13.59,13.59,13.59,0
